,Text,Text_tok,Gold_iob
3200,The transition metals are shiny.,"['The', 'transition', 'metals', 'are', 'shiny', '.']","['O', 'O', 'O', 'B', 'I', 'O']"
44,"Nations that have a desired resource in abundance will often export that resource to other countries, while countries that need that resource must import it from one of the countries that produces it.","['Nations', 'that', 'have', 'a', 'desired', 'resource', 'in', 'abundance', 'will', 'often', 'export', 'that', 'resource', 'to', 'other', 'countries', ',', 'while', 'countries', 'that', 'need', 'that', 'resource', 'must', 'import', 'it', 'from', 'one', 'of', 'the', 'countries', 'that', 'produces', 'it', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9769,Some ways humans cause habitat destruction are by clearing land and by introducing non-native species of plants and animals.,"['Some', 'ways', 'humans', 'cause', 'habitat', 'destruction', 'are', 'by', 'clearing', 'land', 'and', 'by', 'introducing', 'non', '-', 'native', 'species', 'of', 'plants', 'and', 'animals', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
19081,"Arthropods, fish, amphibians and reptiles all originated in the Paleozoic.","['Arthropods', ',', 'fish', ',', 'amphibians', 'and', 'reptiles', 'all', 'originated', 'in', 'the', 'Paleozoic', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7589,"When the sand grains reach the top of the dune, they slip down the steeper side.","['When', 'the', 'sand', 'grains', 'reach', 'the', 'top', 'of', 'the', 'dune', ',', 'they', 'slip', 'down', 'the', 'steeper', 'side', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
9407,The club part of the name comes from club-like clusters of sporangia found on the plants.,"['The', 'club', 'part', 'of', 'the', 'name', 'comes', 'from', 'club', '-', 'like', 'clusters', 'of', 'sporangia', 'found', 'on', 'the', 'plants', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
4626,Its an example of natural selection.,"['Its', 'an', 'example', 'of', 'natural', 'selection', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'O']"
1769,They are called fixed pulleys.,"['They', 'are', 'called', 'fixed', 'pulleys', '.']","['O', 'O', 'O', 'O', 'B', 'O']"
1660,URL:  An organisms habitat is where it lives.,"['URL', ':', 'An', 'organisms', 'habitat', 'is', 'where', 'it', 'lives', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O']"
22022,Sulfur oxides are components of acid rain.,"['Sulfur', 'oxides', 'are', 'components', 'of', 'acid', 'rain', '.']","['O', 'O', 'O', 'B', 'I', 'I', 'I', 'O']"
4399,Girls should also get in the habit of doing a monthly self-exam to check for breast cancer.,"['Girls', 'should', 'also', 'get', 'in', 'the', 'habit', 'of', 'doing', 'a', 'monthly', 'self', '-', 'exam', 'to', 'check', 'for', 'breast', 'cancer', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
4905,"When they are in the opposite position, they say that it is reversed polarity.","['When', 'they', 'are', 'in', 'the', 'opposite', 'position', ',', 'they', 'say', 'that', 'it', 'is', 'reversed', 'polarity', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17090,These salamanders have pale skin and reduced eyes as they have adapted to living in complete darkness in underground pools of water.,"['These', 'salamanders', 'have', 'pale', 'skin', 'and', 'reduced', 'eyes', 'as', 'they', 'have', 'adapted', 'to', 'living', 'in', 'complete', 'darkness', 'in', 'underground', 'pools', 'of', 'water', '.']","['O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11636,"Although they have the same chemical formula, with the same numbers of carbon and hydrogen atoms, they form different compounds, called isomers.","['Although', 'they', 'have', 'the', 'same', 'chemical', 'formula', ',', 'with', 'the', 'same', 'numbers', 'of', 'carbon', 'and', 'hydrogen', 'atoms', ',', 'they', 'form', 'different', 'compounds', ',', 'called', 'isomers', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13516,"In many species, including humans, circadian rhythms are controlled by a tiny structure called the biological clock.","['In', 'many', 'species', ',', 'including', 'humans', ',', 'circadian', 'rhythms', 'are', 'controlled', 'by', 'a', 'tiny', 'structure', 'called', 'the', 'biological', 'clock', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O']"
20064,"In most places the cratons were covered by younger rocks, which together are called a platform.","['In', 'most', 'places', 'the', 'cratons', 'were', 'covered', 'by', 'younger', 'rocks', ',', 'which', 'together', 'are', 'called', 'a', 'platform', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
11381,It began to cool.,"['It', 'began', 'to', 'cool', '.']","['O', 'B', 'I', 'I', 'O']"
25443,Proprioceptors detect the position of different parts of the body in relation to each other and the surrounding environment.,"['Proprioceptors', 'detect', 'the', 'position', 'of', 'different', 'parts', 'of', 'the', 'body', 'in', 'relation', 'to', 'each', 'other', 'and', 'the', 'surrounding', 'environment', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14612,Clastic sedimentary rocks are grouped by the size of the sediment they contain.,"['Clastic', 'sedimentary', 'rocks', 'are', 'grouped', 'by', 'the', 'size', 'of', 'the', 'sediment', 'they', 'contain', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
16116,An example is the relationship between birds called cattle egrets and cattle (see Figure 23.15).,"['An', 'example', 'is', 'the', 'relationship', 'between', 'birds', 'called', 'cattle', 'egrets', 'and', 'cattle', '(', 'see', 'Figure', '23.15', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17881,"For example, if a tiny portion of chromosome 5 is missing, the individual will have cri du chat (cats cry) syndrome.","['For', 'example', ',', 'if', 'a', 'tiny', 'portion', 'of', 'chromosome', '5', 'is', 'missing', ',', 'the', 'individual', 'will', 'have', 'cri', 'du', 'chat', '(', 'cats', 'cry', ')', 'syndrome', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11056,"The frequency of sound waves is measured in hertz (Hz), or the number of waves that pass a fixed point in a second.","['The', 'frequency', 'of', 'sound', 'waves', 'is', 'measured', 'in', 'hertz', '(', 'Hz', ')', ',', 'or', 'the', 'number', 'of', 'waves', 'that', 'pass', 'a', 'fixed', 'point', 'in', 'a', 'second', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20925,Meteorologists can use these results to give much more accurate weather forecasts and climate predictions.,"['Meteorologists', 'can', 'use', 'these', 'results', 'to', 'give', 'much', 'more', 'accurate', 'weather', 'forecasts', 'and', 'climate', 'predictions', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18276,"To make sperm, cells start in the testes and end in the epididymis.","['To', 'make', 'sperm', ',', 'cells', 'start', 'in', 'the', 'testes', 'and', 'end', 'in', 'the', 'epididymis', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O']"
20909,"If a sperm does not enter an egg, the lining of the uterus breaks down.","['If', 'a', 'sperm', 'does', 'not', 'enter', 'an', 'egg', ',', 'the', 'lining', 'of', 'the', 'uterus', 'breaks', 'down', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
20304,"These changes include getting enough exercise, limiting the amount of sodium (salt) in the diet, not being overweight, not drinking alcohol to excess, and not smoking.","['These', 'changes', 'include', 'getting', 'enough', 'exercise', ',', 'limiting', 'the', 'amount', 'of', 'sodium', '(', 'salt', ')', 'in', 'the', 'diet', ',', 'not', 'being', 'overweight', ',', 'not', 'drinking', 'alcohol', 'to', 'excess', ',', 'and', 'not', 'smoking', '.']","['O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20600,"Genetics is the study of heredity, which is the passing of traits (and genes) from one generation to the next.","['Genetics', 'is', 'the', 'study', 'of', 'heredity', ',', 'which', 'is', 'the', 'passing', 'of', 'traits', '(', 'and', 'genes', ')', 'from', 'one', 'generation', 'to', 'the', 'next', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3165,Carbon atoms with 8 neutrons are called carbon-14 (6 protons + 8 neutrons).,"['Carbon', 'atoms', 'with', '8', 'neutrons', 'are', 'called', 'carbon-14', '(', '6', 'protons', '+', '8', 'neutrons', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O']"
4307,"That means the chicken and gorilla had a common ancestor a very long time ago, while the gorilla and orangutan shared a more recent common ancestor.","['That', 'means', 'the', 'chicken', 'and', 'gorilla', 'had', 'a', 'common', 'ancestor', 'a', 'very', 'long', 'time', 'ago', ',', 'while', 'the', 'gorilla', 'and', 'orangutan', 'shared', 'a', 'more', 'recent', 'common', 'ancestor', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19068,"During the time of Pangaea, about 250 million years ago, most of Earths water was collected in a huge ocean called Panthalassa.","['During', 'the', 'time', 'of', 'Pangaea', ',', 'about', '250', 'million', 'years', 'ago', ',', 'most', 'of', 'Earths', 'water', 'was', 'collected', 'in', 'a', 'huge', 'ocean', 'called', 'Panthalassa', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
24035,"The wavelength of a longitudinal wave can be measured as the distance between two adjacent compressions, as shown in the Figure 1.2.","['The', 'wavelength', 'of', 'a', 'longitudinal', 'wave', 'can', 'be', 'measured', 'as', 'the', 'distance', 'between', 'two', 'adjacent', 'compressions', ',', 'as', 'shown', 'in', 'the', 'Figure', '1.2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8516,"With just a few exceptions, all life on Earth depends on the suns energy for survival.","['With', 'just', 'a', 'few', 'exceptions', ',', 'all', 'life', 'on', 'Earth', 'depends', 'on', 'the', 'suns', 'energy', 'for', 'survival', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O']"
21071,"Muscle fibers can contract because they are made of proteins, called actin and myosin, that form long filaments (or fibers).","['Muscle', 'fibers', 'can', 'contract', 'because', 'they', 'are', 'made', 'of', 'proteins', ',', 'called', 'actin', 'and', 'myosin', ',', 'that', 'form', 'long', 'filaments', '(', 'or', 'fibers', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18935,"The same side of the Moon always faces Earth, so that side of the Moon is what we always see in the night sky.","['The', 'same', 'side', 'of', 'the', 'Moon', 'always', 'faces', 'Earth', ',', 'so', 'that', 'side', 'of', 'the', 'Moon', 'is', 'what', 'we', 'always', 'see', 'in', 'the', 'night', 'sky', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14393,"Nutrients, such as nitrates, in the fertilizer promote algae growth in the water they flow into.","['Nutrients', ',', 'such', 'as', 'nitrates', ',', 'in', 'the', 'fertilizer', 'promote', 'algae', 'growth', 'in', 'the', 'water', 'they', 'flow', 'into', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O']"
12254,"When there is just one atom of an element in a molecule, no subscript is used in the chemical formula.","['When', 'there', 'is', 'just', 'one', 'atom', 'of', 'an', 'element', 'in', 'a', 'molecule', ',', 'no', 'subscript', 'is', 'used', 'in', 'the', 'chemical', 'formula', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15090,Hornworts are named for their appearance.,"['Hornworts', 'are', 'named', 'for', 'their', 'appearance', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O']"
16096,An example of mutualism is pictured in Figure can inject poison in the anemones prey.,"['An', 'example', 'of', 'mutualism', 'is', 'pictured', 'in', 'Figure', 'can', 'inject', 'poison', 'in', 'the', 'anemones', 'prey', '.']","['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
943,"URL:  Because compound machines have more moving parts than simple machines, they generally have more friction to overcome.","['URL', ':', 'Because', 'compound', 'machines', 'have', 'more', 'moving', 'parts', 'than', 'simple', 'machines', ',', 'they', 'generally', 'have', 'more', 'friction', 'to', 'overcome', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14344,"The pollutants are much the same as from burning fossil fuels: CO2 , carbon monoxide, methane, particulates, nitrous oxide, hydrocarbons, and organic and elemental carbon.","['The', 'pollutants', 'are', 'much', 'the', 'same', 'as', 'from', 'burning', 'fossil', 'fuels', ':', 'CO2', ',', 'carbon', 'monoxide', ',', 'methane', ',', 'particulates', ',', 'nitrous', 'oxide', ',', 'hydrocarbons', ',', 'and', 'organic', 'and', 'elemental', 'carbon', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26031,Raw eggs and undercooked meats commonly carry the bacteria that can cause food poisoning.,"['Raw', 'eggs', 'and', 'undercooked', 'meats', 'commonly', 'carry', 'the', 'bacteria', 'that', 'can', 'cause', 'food', 'poisoning', '.']","['B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14873,The full box is harder to move because it has greater mass and therefore greater inertia.,"['The', 'full', 'box', 'is', 'harder', 'to', 'move', 'because', 'it', 'has', 'greater', 'mass', 'and', 'therefore', 'greater', 'inertia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7880,Most ecosystems get energy from sunlight.,"['Most', 'ecosystems', 'get', 'energy', 'from', 'sunlight', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'O']"
24362,"These features are well displayed in the East African Rift, where rifting has begun, and in the Red Sea, where water is filling up the basin created by seafloor spreading.","['These', 'features', 'are', 'well', 'displayed', 'in', 'the', 'East', 'African', 'Rift', ',', 'where', 'rifting', 'has', 'begun', ',', 'and', 'in', 'the', 'Red', 'Sea', ',', 'where', 'water', 'is', 'filling', 'up', 'the', 'basin', 'created', 'by', 'seafloor', 'spreading', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
669,A combustion engine is a complex machine that burns fuel to produce thermal energy and then uses the energy to do work.,"['A', 'combustion', 'engine', 'is', 'a', 'complex', 'machine', 'that', 'burns', 'fuel', 'to', 'produce', 'thermal', 'energy', 'and', 'then', 'uses', 'the', 'energy', 'to', 'do', 'work', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20981,Specialized structures for reproduction: One example is a fruiting body.,"['Specialized', 'structures', 'for', 'reproduction', ':', 'One', 'example', 'is', 'a', 'fruiting', 'body', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
13234,"It shows that oil is the single most commonly used energy resource in the U.S., followed by natural gas, and then by coal.","['It', 'shows', 'that', 'oil', 'is', 'the', 'single', 'most', 'commonly', 'used', 'energy', 'resource', 'in', 'the', 'U.S.', ',', 'followed', 'by', 'natural', 'gas', ',', 'and', 'then', 'by', 'coal', '.']","['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26377,"They actually appear to the bodys immune system as cells of the digestive system, not foreign invaders.","['They', 'actually', 'appear', 'to', 'the', 'bodys', 'immune', 'system', 'as', 'cells', 'of', 'the', 'digestive', 'system', ',', 'not', 'foreign', 'invaders', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O']"
18891,"Although it is difficult to know what the shape of the Milky Way Galaxy is because we are inside of it, astronomers have identified it as a typical spiral galaxy containing about 200 billion to 400 billion stars.","['Although', 'it', 'is', 'difficult', 'to', 'know', 'what', 'the', 'shape', 'of', 'the', 'Milky', 'Way', 'Galaxy', 'is', 'because', 'we', 'are', 'inside', 'of', 'it', ',', 'astronomers', 'have', 'identified', 'it', 'as', 'a', 'typical', 'spiral', 'galaxy', 'containing', 'about', '200', 'billion', 'to', '400', 'billion', 'stars', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12765,"Being the ""first line"", it starts with the skin.","['Being', 'the', '""', 'first', 'line', '""', ',', 'it', 'starts', 'with', 'the', 'skin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
1206,Make predictions based on the hypothesis and then determine if they are correct.,"['Make', 'predictions', 'based', 'on', 'the', 'hypothesis', 'and', 'then', 'determine', 'if', 'they', 'are', 'correct', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25000,It turns out that earthquake epicenters outline the plates.,"['It', 'turns', 'out', 'that', 'earthquake', 'epicenters', 'outline', 'the', 'plates', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O']"
10166,The highest cliff of a cirque is called the headwall.,"['The', 'highest', 'cliff', 'of', 'a', 'cirque', 'is', 'called', 'the', 'headwall', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O']"
5025,Biotic factors include the amount of food that is available to that species and the number of organisms that also use that food source.,"['Biotic', 'factors', 'include', 'the', 'amount', 'of', 'food', 'that', 'is', 'available', 'to', 'that', 'species', 'and', 'the', 'number', 'of', 'organisms', 'that', 'also', 'use', 'that', 'food', 'source', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
18862,Lippershey used scientific knowledge of the properties of light and lenses to design his telescope.,"['Lippershey', 'used', 'scientific', 'knowledge', 'of', 'the', 'properties', 'of', 'light', 'and', 'lenses', 'to', 'design', 'his', 'telescope', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10402,"Groundwater is often called fossil water because it has remained in the ground for so long, often since the end of the ice ages.","['Groundwater', 'is', 'often', 'called', 'fossil', 'water', 'because', 'it', 'has', 'remained', 'in', 'the', 'ground', 'for', 'so', 'long', ',', 'often', 'since', 'the', 'end', 'of', 'the', 'ice', 'ages', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
12192,"According to the new definition, a planet must: Orbit a star.","['According', 'to', 'the', 'new', 'definition', ',', 'a', 'planet', 'must', ':', 'Orbit', 'a', 'star', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O']"
14277,France alone consumes 5 million pounds of escargot every year.,"['France', 'alone', 'consumes', '5', 'million', 'pounds', 'of', 'escargot', 'every', 'year', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5895,This produces one molecule of glucose (C6 H12 O6 ) and six molecules of oxygen (O2 ).,"['This', 'produces', 'one', 'molecule', 'of', 'glucose', '(', 'C6', 'H12', 'O6', ')', 'and', 'six', 'molecules', 'of', 'oxygen', '(', 'O2', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7832,The hard skeleton of echinoderms is used as a source of lime by farmers in some areas where limestone is unavailable.,"['The', 'hard', 'skeleton', 'of', 'echinoderms', 'is', 'used', 'as', 'a', 'source', 'of', 'lime', 'by', 'farmers', 'in', 'some', 'areas', 'where', 'limestone', 'is', 'unavailable', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
166,Lava flowing into the sea creates new land in Hawaii.,"['Lava', 'flowing', 'into', 'the', 'sea', 'creates', 'new', 'land', 'in', 'Hawaii', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O']"
10716,"For example, in the fall, when the days start to get shorter, the trees sense that there is less sunlight.","['For', 'example', ',', 'in', 'the', 'fall', ',', 'when', 'the', 'days', 'start', 'to', 'get', 'shorter', ',', 'the', 'trees', 'sense', 'that', 'there', 'is', 'less', 'sunlight', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14642,"We can choose to use materials that are not hazardous, such as using vinegar as a cleanser.","['We', 'can', 'choose', 'to', 'use', 'materials', 'that', 'are', 'not', 'hazardous', ',', 'such', 'as', 'using', 'vinegar', 'as', 'a', 'cleanser', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O']"
21956,"When astronomers measure how spiral galaxies rotate, they find that the outside edges of a galaxy rotate at the same speed as parts closer to the center.","['When', 'astronomers', 'measure', 'how', 'spiral', 'galaxies', 'rotate', ',', 'they', 'find', 'that', 'the', 'outside', 'edges', 'of', 'a', 'galaxy', 'rotate', 'at', 'the', 'same', 'speed', 'as', 'parts', 'closer', 'to', 'the', 'center', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2759,"Monsoons are like land and sea breezes, but on a larger scale.","['Monsoons', 'are', 'like', 'land', 'and', 'sea', 'breezes', ',', 'but', 'on', 'a', 'larger', 'scale', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23457,"The cause is heat that builds up below the surface, which has no escape until finally it destroys the crust and results in volcanoes.","['The', 'cause', 'is', 'heat', 'that', 'builds', 'up', 'below', 'the', 'surface', ',', 'which', 'has', 'no', 'escape', 'until', 'finally', 'it', 'destroys', 'the', 'crust', 'and', 'results', 'in', 'volcanoes', '.']","['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4211,"Subgroup Representative Organisms Approximate Number of Species Characteristics Subgroup Araneae Representative Organisms Spiders Approximate Number of Species 40,000 Characteristics Found all over the world, ranging from tropics to the Arctic, some in extreme environments.","['Subgroup', 'Representative', 'Organisms', 'Approximate', 'Number', 'of', 'Species', 'Characteristics', 'Subgroup', 'Araneae', 'Representative', 'Organisms', 'Spiders', 'Approximate', 'Number', 'of', 'Species', '40,000', 'Characteristics', 'Found', 'all', 'over', 'the', 'world', ',', 'ranging', 'from', 'tropics', 'to', 'the', 'Arctic', ',', 'some', 'in', 'extreme', 'environments', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13678,"The invention of the microscope allowed scientists to see cells, bacteria, and many other structures that are too small to be seen with the unaided eye.","['The', 'invention', 'of', 'the', 'microscope', 'allowed', 'scientists', 'to', 'see', 'cells', ',', 'bacteria', ',', 'and', 'many', 'other', 'structures', 'that', 'are', 'too', 'small', 'to', 'be', 'seen', 'with', 'the', 'unaided', 'eye', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
